0000161;/zxdb/sinclair/pokes/Aliens (1986)(Electric Dreams Software).pok
0000164;/zxdb/sinclair/pokes/Aliquid Simplex (1984)(Your Computer).pok
0000172;/zxdb/sinclair/pokes/Alpine Games (1987)(Atlantis Software).pok
0000173;/zxdb/sinclair/pokes/Altered Beast (1989)(Activision Inc).pok
0000176;/zxdb/sinclair/pokes/Amaurote (1987)(Mastertronic Added Dimension).pok
0000182;/zxdb/sinclair/pokes/Super Car Trans Am (1989)(Code Masters).pok
0000185;/zxdb/sinclair/pokes/Amo del Mundo (1990)(Positive).pok
0000186;/zxdb/sinclair/pokes/Amoto's Puf (1988)(SPE).pok
0000187;/zxdb/sinclair/pokes/Anarchy (1987)(Rack-It).pok
0000190;/zxdb/sinclair/pokes/Android One (1983)(Vortex Software).pok
0000192;/zxdb/sinclair/pokes/Android Two (1983)(Vortex Software).pok
0000195;/zxdb/sinclair/pokes/Android Pit Rescue (1982)(Abacus Programs).pok
0000196;/zxdb/sinclair/pokes/Androide (1984)(ERE Informatique).pok
0000197;/zxdb/sinclair/pokes/Androids (1983)(Sunshine Books).pok
0000200;/zxdb/sinclair/pokes/Andy Capp (1988)(Mirrorsoft).pok
0000202;/zxdb/sinclair/pokes/Anfractuos (1987)(Players Software).pok
0000206;/zxdb/sinclair/pokes/Animated Strip Poker (1985)(Knightsoft).pok
0000208;/zxdb/sinclair/pokes/Ano Gaia (1992)(Your Sinclair).pok
0000210;/zxdb/sinclair/pokes/Ant Attack (1983)(Quicksilva).pok
0000219;/zxdb/sinclair/pokes/Antteroo (1985)(Central Solutions).pok
0000220;/zxdb/sinclair/pokes/APB (1989)(Domark).pok
0000223;/zxdb/sinclair/pokes/Apollo 11 (1983)(Darkstar).pok
0000227;/zxdb/sinclair/pokes/Aquaplane (1983)(Quicksilva).pok
0000229;/zxdb/sinclair/pokes/Aquarius (1983)(Bug-Byte Software).pok
0000230;/zxdb/sinclair/pokes/Aquasquad (1988)(Atlantis Software).pok
0000232;/zxdb/sinclair/pokes/Arc of Yesod, The (1985)(Thor Computer Software).pok
0000234;/zxdb/sinclair/pokes/Arcade Creator (1986)(Argus Press Software).pok
0000235;/zxdb/sinclair/pokes/Fruit Machine (1990)(Zeppelin Games).pok
0000236;/zxdb/sinclair/pokes/Arcade Trivia Quiz (1989)(Zeppelin Games).pok
0000237;/zxdb/sinclair/pokes/Arcadia (1982)(Imagine Software).pok
0000241;/zxdb/sinclair/pokes/Archaeologist, The (1985)(Spectrum Computing).pok
0000242;/zxdb/sinclair/pokes/Archon (1989)(Electronic Arts).pok
0000243;/zxdb/sinclair/pokes/Archon (1985)(Ariolasoft UK).pok
0000244;/zxdb/sinclair/pokes/Archon II Adept (1989)(Electronic Arts).pok
0000245;/zxdb/sinclair/pokes/Arcticfox (1988)(Electronic Arts).pok
0000248;/zxdb/sinclair/pokes/Arena (1985)(MC Lothlorien).pok
0000251;/zxdb/sinclair/pokes/Arena 3000 (1984)(Microdeal).pok
0000252;/zxdb/sinclair/pokes/Ares (1990)(MicroHobby).pok
0000253;/zxdb/sinclair/pokes/Noah (1984)(ESP).pok
0000254;/zxdb/sinclair/pokes/Arcanoid (19xx)(-).pok
0000255;/zxdb/sinclair/pokes/Arkanoid (1987)(Imagine Software).pok
0000258;/zxdb/sinclair/pokes/Arkanoid - Revenge of Doh (1988)(Imagine Software).pok
0000262;/zxdb/sinclair/pokes/Arkarum (1990)(Ultrasoft).pok
0000263;/zxdb/sinclair/pokes/Arkos (1988)(Zigurat Software).pok
0000273;/zxdb/sinclair/pokes/Army Moves (1987)(Dinamic Software).pok
0000282;/zxdb/sinclair/pokes/Artura (1989)(Gremlin Graphics Software).pok
0000285;/zxdb/sinclair/pokes/Aspar GP Master (1988)(Dinamic Software).pok
0000288;/zxdb/sinclair/pokes/Assassin (1990)(Psychaedelic Hedgehog Software).pok
0000290;/zxdb/sinclair/pokes/Asterix and the Magic Cauldron (1986)(Melbourne House).pok
0000294;/zxdb/sinclair/pokes/Astro Blaster (1983)(Quicksilva).pok
0000295;/zxdb/sinclair/pokes/Astro Marine Corps (1989)(Dinamic Software).pok
0000298;/zxdb/sinclair/pokes/Astroball (1992)(Digital Reality).pok
0000299;/zxdb/sinclair/pokes/Astroclone (1985)(Hewson Consultants).pok
0000301;/zxdb/sinclair/pokes/Astronut (1984)(Software Projects).pok
0000302;/zxdb/sinclair/pokes/Astroplaner (1984)(Romik Software).pok
0000303;/zxdb/sinclair/pokes/Equipo A, El (1988)(Zafiro Software Division).pok
0000305;/zxdb/sinclair/pokes/ATF (1988)(Digital Integration).pok
0000307;/zxdb/sinclair/pokes/Athena (1987)(Imagine Software).pok
0000312;/zxdb/sinclair/pokes/Atom Ant (1990)(Hi-Tec Software).pok
0000320;/zxdb/sinclair/pokes/Atrog (1988)(Zafiro Software Division).pok
0000325;/zxdb/sinclair/pokes/Attack of the Empire (1985)(Chibur).pok
0000326;/zxdb/sinclair/pokes/Attack of the Killer Tomatoes (1986)(Global Software).pok
0000327;/zxdb/sinclair/pokes/Lunar Attack (1984)(K'Soft).pok
0000328;/zxdb/sinclair/pokes/Auf Wiedersehen Monty (1987)(Gremlin Graphics Software).pok
0000338;/zxdb/sinclair/pokes/Autocrash (1991)(Zigurat Software).pok
0000339;/zxdb/sinclair/pokes/Automania (1984)(Mikro-Gen).pok
0000344;/zxdb/sinclair/pokes/Autostopista Galactico (1983)(Ventamatic).pok
0000348;/zxdb/sinclair/pokes/Avalon (1984)(Hewson Consultants).pok
0000350;/zxdb/sinclair/pokes/Avenger (1982)(Abacus Programs).pok
0000351;/zxdb/sinclair/pokes/Avenger (1986)(Gremlin Graphics Software).pok
0000353;/zxdb/sinclair/pokes/Averno (1989)(P.J. Software).pok
0000356;/zxdb/sinclair/pokes/Axons (1991)(Software Saur).pok
0000358;/zxdb/sinclair/pokes/Babaliba (1984)(Dinamic Software).pok
0000362;/zxdb/sinclair/pokes/Back to Skool (1985)(Microsphere).pok
0000364;/zxdb/sinclair/pokes/Back to the Future (1985)(Electric Dreams Software).pok
0000366;/zxdb/sinclair/pokes/Back to the Future Part II (1990)(Image Works).pok
0000367;/zxdb/sinclair/pokes/Back to the Future Part III (1991)(Image Works).pok
0000376;/zxdb/sinclair/pokes/Backpackers Guide to the Universe (1984)(Fantasy Software).pok
0000379;/zxdb/sinclair/pokes/Bad Dream (1990)(Proxima Software).pok
0000380;/zxdb/sinclair/pokes/Badlands (1990)(Domark).pok
0000383;/zxdb/sinclair/pokes/Ball Breaker (1987)(CRL Group).pok
0000385;/zxdb/sinclair/pokes/Ballbreaker II (1988)(CRL Group).pok
0000386;/zxdb/sinclair/pokes/Ball Crazy (1987)(Mastertronic Added Dimension).pok
0000393;/zxdb/sinclair/pokes/Balloon Hopper (1983)(Your Computer).pok
0000395;/zxdb/sinclair/pokes/Ballooning (1984)(Heinemann).pok
0000398;/zxdb/sinclair/pokes/Bandera (1985)(MicroHobby).pok
0000401;/zxdb/sinclair/pokes/Silver Gun (1988)(MicroHobby).pok
0000403;/zxdb/sinclair/pokes/Bangers & Mash (1992)(Alternative Software).pok
0000405;/zxdb/sinclair/pokes/Barbarian (1988)(Melbourne House).pok
0000407;/zxdb/sinclair/pokes/Barbarian The Ultimate Warrior (1987)(Palace Software).pok
0000409;/zxdb/sinclair/pokes/Barbarian II The Dungeon of Drax (1988)(Palace Software).pok
0000416;/zxdb/sinclair/pokes/Barchou (1984)(Central Solutions).pok
0000420;/zxdb/sinclair/pokes/Bargain Basement!!! (1986)(Sparklers).pok
0000422;/zxdb/sinclair/pokes/Barmy Burgers (1983)(Blaby Computer Games).pok
0000424;/zxdb/sinclair/pokes/Barreldrop (1983)(Games Machine).pok
0000425;/zxdb/sinclair/pokes/Barrowquest (1984)(CCS).pok
0000426;/zxdb/sinclair/pokes/Barry McGuigan World Championship Boxing (1985)(Gamestar).pok
0000428;/zxdb/sinclair/pokes/Base Invaders (1983)(Work Force).pok
0000430;/zxdb/sinclair/pokes/Basil the Great Mouse Detective (1987)(Gremlin Graphics Software).pok
0000432;/zxdb/sinclair/pokes/3D Bat Attack (1984)(CheetahSoft).pok
0000434;/zxdb/sinclair/pokes/Batman The Movie (1989)(Ocean Software).pok
0000438;/zxdb/sinclair/pokes/Batman (1986)(Ocean Software).pok
0000442;/zxdb/sinclair/pokes/Batman The Caped Crusader (1988)(Ocean Software).pok
0000449;/zxdb/sinclair/pokes/Arena! (1983)(Titan Programs).pok
0000451;/zxdb/sinclair/pokes/Battle Command (1990)(Ocean Software).pok
0000458;/zxdb/sinclair/pokes/Battle of the Planets (1986)(Mikro-Gen).pok
0000459;/zxdb/sinclair/pokes/Battle of the Toothpaste Tubes (1983)(K-Tel Productions).pok
0000465;/zxdb/sinclair/pokes/Battle Valley (1988)(Rack-It).pok
0000466;/zxdb/sinclair/pokes/Battlezone (1984)(Quicksilva).pok
0000472;/zxdb/sinclair/pokes/Batty (1987)(Hit-Pak).pok
0000475;/zxdb/sinclair/pokes/Bazooka Bill (1986)(Melbourne House).pok
0000476;/zxdb/sinclair/pokes/B.C. Bill (1984)(Imagine Software).pok
0000477;/zxdb/sinclair/pokes/BC's Quest for Tires (1985)(Software Projects).pok
0000479;/zxdb/sinclair/pokes/Beach Buggy Simulator (1988)(Silverbird Software).pok
0000481;/zxdb/sinclair/pokes/Beach-Head (1984)(US Gold).pok
0000483;/zxdb/sinclair/pokes/Beach-Head II (1985)(US Gold).pok
0000488;/zxdb/sinclair/pokes/Beaky and the Egg Snatchers (1984)(Fantasy Software).pok
0000489;/zxdb/sinclair/pokes/Beamrider (1984)(Activision Inc).pok
0000490;/zxdb/sinclair/pokes/Bear a Grudge (1988)(Sinclair User).pok
